ID_Batch_Loop#,Artist_Name,Title,Date_Created,Medium,Size,Signed_Edition,Estimate_Range,Realized_Price,Sale,Auction_House,Sale_Date
2_14,Damien Hirst,"With Dead Head, 1981-1991",1981-1991,C-print.,7 5/8 x 9 5/8 in. (19.4 x 24.4 cm).,,"1,000 - 1,500 USD","1,560 USD",Saturday@Phillips,"Phillips New York, Chelsea","Sep. 29, 2007"
2_15,Damien Hirst,"Untitled (Spin Painting), 1990",1990,Colored and colored chalk,"41,6 x 29,3 cm ( 16,3 x 11,5 in)",,"16,000 EUR","19,200 EUR",Post War,Ketterer Kunst Munich,"Jun. 12, 2007"
2_16,Damien Hirst,"UNTITLED, FullFormat:,year,1990","FullFormat:,year,1990",no medium listed,,,"4,000 - 6,000 GBP",Not Sold,Contemporary Art,Sotheby's Olympia,"Jun. 23, 2005"
2_17,Damien Hirst,"WITH DEAD HEAD, FullFormat:,year,1981","FullFormat:,year,1981",no medium listed,,,"15,000 - 20,000 GBP","21,600 GBP","Contemporary Art, Day",Sotheby's London,"Jun. 24, 2004"
2_18,Damien Hirst,"With Dead Head, 1981-1991",1981-1991,black & white photograph mounted on aluminum,22½ x 30in. (57 x 76.2cm.),seven from an edition of fifteen,"40,000 - 60,000 USD","44,650 USD",Contemporary,Christie's New York,"Nov. 16, 2000"
2_19,Damien Hirst,"beautiful, beautiful, nasty, mean, heartless, but colourful, optimistic, drug induced, contentless, formless, thoughtless, uncreative, crappy but dappy, uncool, massive explosion, screaming, creamy, smooth, fill your heart with joy painting, 1986",1986,gloss household paint on canvas,72in. (213.4cm.) diameter,Signed,"40,000 - 60,000 GBP","60,900 GBP",CONTEMPORARY ART,Christie's London,"Oct. 08, 1998"
1_0,Damien Hirst,"Aldosterone 18, 21-Diacetate-3-(0-Carboxymethyl)oxime:BSA, 1992",1992,household gloss on canvas,84 by 92 in. 213.4 by 233.7 cm,Signed,"1,000,000 - 1,500,000 USD","1,580,000 USD",Contemporary Art Day Auction,Sotheby's New York,"May. 17, 2019"
1_1,Damien Hirst,"Spin painting (from War Child), 1995",1995,Acrylic on paper (acrylic on paper),h: 15 w: 10 cm,Signed,"3,000 - 4,000 EUR",Not Sold,More,Artcurial,"Jan. 20, 2019"
1_2,Damien Hirst,"UNTITLED #2, 1992",1992,household gloss on canvas,35 7/8 by 35 7/8 in. 91.4 by 91.4 cm,Signed,"450,000 - 550,000 USD","675,000 USD",Contemporary Art Day Auction,Sotheby's New York,"Nov. 15, 2018"
1_3,Damien Hirst,"PHARMACY, 1992",1992,Color offset lithograph on 4-ply board with cut-out,8 1/2 x 8 1/2 in,"Signed, 36/200","1,500 - 2,500 USD","2,250 USD",Modern & Contemporary Art,Freeman's,"Nov. 13, 2018"
1_4,Damien Hirst,"Relationships, 1991",1991,Mixed media on cardboard,22.5 x 55.5 cm,"Signed, 27/125","6,000 - 8,000 EUR",Not Sold,Auction 5: Modern and Contemporary Art,Daliano Ribani Art & Auction House,"Oct. 20, 2018"
1_5,Damien Hirst,"Beautiful lunatics spinning drawing (with breakaway edge), 1993",1993,ink on paper,11 5/8 x 8 1/8 in. (29.5 x 20.6 cm.),Signed,"5,000 - 7,000 USD","10,000 USD",New Now,Phillips New York,"Sep. 26, 2018"
1_6,Damien Hirst,"Bombesin, 1995",1995,household gloss on canvas,4 1/2 x 3 in. (11.4 x 7.6 cm.),,"25,000 - 35,000 USD","40,000 USD",New Now,Phillips New York,"Sep. 26, 2018"
1_7,Damien Hirst,"Relationships, 1991",1991,"drinking glass, ping pong ball and cardboard tube",18.5cm high,Signed,400 - 600 GBP,Not Sold,Contemporary Art,Chiswick Auctions,"Sep. 21, 2018"
1_8,Damien Hirst,"Pharmacy, 1992",1992,Offset printed in colors,222 x 222 mm,"Signed, 60/200","2,000 - 3,000 USD","1,750 USD",Contemporary Prints and Multiples (Online Only),Sotheby's Online,"Jul. 19, 2018"
1_9,Damien Hirst,"SPOT DRAWING NO. 2, 1990",1990,coloured pencil on paper,84.1 by 59.7 cm. 33 1/8 by 23 1/2 in,Signed,"80,000 - 120,000 GBP","175,000 GBP",Contemporary Art Day Auction,Sotheby's London,"Jun. 27, 2018"
1_10,Damien Hirst,"BEAUTIFUL, INTENSE, VIOLENTLY, GORGEOUS, PAINFUL, INVADING LOVE, PAINTING, Executed 1995",Executed 1995,household gloss on canvas,diameter: 137.2 cm. 54 1/8 in. framed diameter: 154 cm. 60 5/8 in,,"150,000 - 200,000 GBP","286,000 GBP",Contemporary Art Day Auction,Sotheby's London,"Jun. 27, 2018"
1_11,Damien Hirst,"Making Beautiful Drawings, 1994",1994,"Spin painting in gouache in colours, on paper; illustrations",book 23 x 14.8 cm (9 x 5 7/8 in.),"Signed, 23/100","3,000 - 5,000 GBP","4,750 GBP",Evening & Day Editions,Phillips London,"Jun. 07, 2018"
1_12,Damien Hirst,"Untitled F (Spot Drawing), 1995",1995,colored pencil on paper,"150,2 x 116,5 cm; 59 1/8 x 45 7/8 in",Signed,"220,000 - 320,000 EUR","249,000 EUR",Art Contemporain Evening Sale,Sotheby's Paris,"Jun. 06, 2018"
1_13,Damien Hirst,"Untitled, 1995",1995,acrylic on paper,15 x 9.5 cm. (5 7/8 x 3 3/4 in.),66/250,"24,000 - 55,000 HKD","30,000 HKD",Contemporary Art Asia: Hong Kong Edition,Christie's Online,"May. 22, 2018"
1_14,Damien Hirst,"Away from the Flock, 1994",1994,"glass, painted steel, silicone, acrylic, plastic",38 1/2 x 58 1/2 x 20 in. (97.8 x 149 x 51 cm.),from an edition of three plus one artist's proof,"4,000,000 - 6,000,000 USD","4,412,500 USD",Post-War and Contemporary Art Evening Sale,Christie's New York,"May. 17, 2018"
1_15,Damien Hirst,"Arg-Arg-Lys Ala-Ser-Gly-Pro, 1994",1994,household gloss on canvas,"59.0☓50.5cm (12), 23.2☓19.9in",Signed,"1,600,000 - 2,400,000 HKD","2,000,000 HKD*",24th Hong Kong Sale,"Seoul Auction, Hong Kong","Mar. 29, 2018"
1_16,Damien Hirst,"UNTITLED, 1995",1995,household gloss on canvas,38.4 by 42 cm. 15 1/8 by 16 1/2 in,Signed,"100,000 - 150,000 GBP","249,000 GBP",Contemporary Art Day Auction,Sotheby's London,"Mar. 08, 2018"
1_17,Damien Hirst,"Untitled, 1995",1995,Acrylic on paper,15.2 × 9.4 cm,,"25,000 - 50,000 CNY","32,200 CNY",Contemporary Art & Oil Paintings and Sculptures,Hosane,"Jan. 20, 2018"
1_18,Damien Hirst,"Untitled aaaa, 1992",1992,"glass, painted MDF, cardboard, steel, plastic, aluminum and pharmaceutical packaging",24 1/4 x 40 x 9 in. (61.6 x 101.6 x 22.9 cm.),,"300,000 - 400,000 USD","399,000 USD",20th Century & Contemporary Art Day Sale Afternoon Session,Phillips New York,"Nov. 15, 2017"
1_19,Damien Hirst,"Love Will Tear Us Apart, 1995",1995,"acrylic syringe dispenser, needles, syringes and packaging",14 x 20 x 8 3/4 in. (35.6 x 50.8 x 22.2 cm.),"Signed, 2/30","15,000 - 20,000 USD","16,250 USD",20th Century & Contemporary Art Day Sale Afternoon Session,Phillips New York,"Nov. 15, 2017"
1_20,Damien Hirst,"Adenylosuccinate Lyase, 1992",1992,household gloss on canvas,44 x 84 in. (111.8 x 213.4 cm.),,"600,000 - 800,000 USD","855,000 USD",20th Century & Contemporary Art Day Sale Afternoon Session,Phillips New York,"Nov. 15, 2017"
1_21,Damien Hirst,"Cyclohexane, 1995",1995,household gloss on canvas,152.4 x 152.4 cm (60 x 60 in.),Signed,"600,000 - 800,000 GBP","729,000 GBP",20th Century & Contemporary Art Evening Sale,Phillips London,"Oct. 06, 2017"
1_22,Damien Hirst,"Spin Painting (War Child), 1995",1995,Acrylic on arches,15 x 9.5 cm.,Signed,"2,000 - 3,000 GBP","1,830 GBP*",20th Century and Contemporary Art and Design,Chiswick Auctions,"Jul. 11, 2017"
1_23,Damien Hirst,"Making beautiful drawings, 1994",1994,Book with watercolour,8 ⅜ × 5 ⅞ in,Signed,"2,500 - 3,000 EUR","2,500 EUR","Third Floor. Estimates up to EUR 3,000",Grisebach,"Jun. 03, 2017"
1_24,Damien Hirst,"Making beautiful drawings, 1993",1993,coloured pencil on paper,21.2 x 14.5 cm,"Signed, edition of 100","6,000 - 7,000 EUR","8,193 EUR",Contemporary Art II,"Dorotheum, Vienna","Jun. 01, 2017"
1_25,Damien Hirst,"Love Will Tear Us Apart, 1995",1995,"Plexiglas, sintra cabinet, surgical syringes, and needles",14 x 20 x 8 3/4 in. (35.6 x 50.8 x 22.2 cm),"Signed, 11/30","18,000 - 24,000 USD","20,000 USD",Evening & Day Editions including Works from the Piero Crommelynck Collection,Phillips New York,"Apr. 18, 2017"
1_26,Damien Hirst,"Untitled (From London, Group Portfolio), 1992",1992,Screenprint,33 x 23.5 in.,,"1,500 - 2,500 GBP","1,750 GBP",Contemporary and Post-War Art,Lyon & Turnbull,"Mar. 15, 2017"
1_27,Damien Hirst,"GENX III, 1995",1995,mixed media/cut out,9 1/4 x 7 1/4 in,Signed,"1,500 - 2,500 USD","1,200 USD*",March Auction,Trinity International Auctions,"Mar. 11, 2017"
1_28,Damien Hirst,"BEAUTIFUL WHERE DID ALL THE COLOUR GO PAINTING, 1992",1992,household gloss on canvas,190.5 by 152.4 cm. 75 by 60 in,Signed,"400,000 - 600,000 GBP","584,750 GBP",Contemporary Art Evening Auction,Sotheby's London,"Mar. 08, 2017"
1_29,Damien Hirst,"Spin (from Warchild Series), 1995",1995,Acrylic on Arches paper,15 x 10 cm,"Signed, from an edition of 250","2,400 - 5,000 EUR",Not Sold,Start Collecting: The Paddle8 Pad Sale Part 1,"Auctionata, Berlin","Nov. 29, 2016"
1_30,Damien Hirst,"Untitled, from Stütz Mappe Portfolio, 1995",1995,Etching printed in colours,245 x 198mm (9 5/8 x 7 3/4in),"Signed, 26/50","2,000 - 3,000 GBP","2,500 GBP",Prints & Multiples,Bonhams New Bond Street,"Nov. 16, 2016"
1_31,Damien Hirst,"Do You Know What I Like About You?, 1994",1994,butterflies and household gloss on canvas,84 x 84 in,,"900,000 - 1,200,000 USD","1,039,500 USD",Post-War & Contemporary Art Evening Sale,Christie's New York,"Nov. 15, 2016"
1_32,Damien Hirst,"UNTITLED FISH FOR DAVID, 1995",1995,"acrylic, fish and formaldehyde solution in perspex box",21 by 26 by 19.5 cm.; 8¼ by 10¼ by 7¾in,Signed,"40,000 - 60,000 GBP","185,000 GBP","Bowie/Collector – Part I: Modern and Contemporary Art, Evening Auction",Sotheby's London,"Nov. 10, 2016"
1_33,Damien Hirst,"BEAUTIFUL, SHATTERING, SLASHING, VIOLENT, PINKY, HACKING, SPHINCTER PAINTING, 1995",1995,household gloss on canvas,diameter: 212.5 cm,Signed,"250,000 - 350,000 GBP","755,000 GBP","Bowie/Collector – Part I: Modern and Contemporary Art, Evening Auction",Sotheby's London,"Nov. 10, 2016"
1_34,Damien Hirst,"BEAUTIFUL, HALLO, SPACE-BOY PAINTING, 1995",1995,household gloss on canvas,diameter: 213.4cm,Signed,"250,000 - 350,000 GBP","785,000 GBP","Bowie/Collector – Part I: Modern and Contemporary Art, Evening Auction",Sotheby's London,"Nov. 10, 2016"
1_35,Damien Hirst,"17 Sausages, 1993",1993,"acrylic, silicone, monofilament, sausages and formaldehyde solution",24 x 17 7/8 x 2 in,,"60,000 - 80,000 GBP","100,000 GBP",20th Century & Contemporary Art Day Sale,Phillips London,"Oct. 06, 2016"
1_36,Damien Hirst,"Untitled #2 (Spot Painting), 1992",1992,household gloss on canvas,91.4 x 91.4 cm (35 7/8 x 35 7/8 in.),Signed,"300,000 - 500,000 GBP","509,000 GBP",20th Century & Contemporary Art Evening Sale,Phillips London,"Oct. 05, 2016"
1_37,Damien Hirst,"Pharmacy, 1992-1993",1992-1993,Offset lithograph in colors on board with cut out,8 1/2 x 8 1/2 in.,"Signed, 134/200","1,000 - 2,000 USD","1,400 USD","Modern, Contemporary & Conceptual Art",Gray's Auctioneers,"Sep. 28, 2016"
1_38,Damien Hirst,"Untitled (Rocks), 1992",1992,Serigraph in colors on wove paper,86 x 62.2 cm,62/65,"2,600 EUR",Not Sold,Travel Europe,"Auctionata, Berlin","Sep. 02, 2016"
1_39,Damien Hirst,"Untitled (Rocks), 1992",1992,Serigraph in colors on wove paper,86 x 62.2 cm,"Signed, 62 from the edition of 65","1,700 - 3,400 EUR",Not Sold,Abstract Art of the 20th & 21st Century,"Auctionata, Berlin","Jul. 11, 2016"
1_40,Damien Hirst,"Untitled aaaaaa, 1992",1992,"glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",61 by 101.5 by 23 cm,Signed,"180,000 - 250,000 GBP","314,500 GBP",Post-War & Contemporary Art,Bonhams New Bond Street,"Jun. 30, 2016"
1_41,Damien Hirst,"AZELAIC ACID, 1995",1995,household gloss on canvas,30.5 by 25.8 cm. 12 by 10 1/8 in,Signed,"20,000 - 30,000 GBP","40,000 GBP",Contemporary Art Day Auction,Sotheby's London,"Jun. 29, 2016"
1_42,Damien Hirst,"Making beautiful drawings, 1993",1993,Color pencils on paper (Crayon de couleur sur papier),"21,2 x 14,5 cm","Signed, unique artwork","6,000 - 8,000 EUR",Not Sold,Post War & Contemporary Art,Millon & Associes,"Jun. 20, 2016"
1_43,Damien Hirst,"Untitled (Rocks), 1992",1992,Serigraph in colors on wove paper,86 x 62.2 cm,"Signed, 62/65","1,800 - 3,600 EUR",Not Sold,Abstractionism: Post-War Art,"Auctionata, Berlin","Jun. 07, 2016"
1_44,Damien Hirst,"Spin Drawing, 1994",1994,Mixed media on paper,21.4 x 14.7 cm,"Signed, 44/100","5,000 - 6,000 EUR",Not Sold,Contemporary Art II,"Lempertz, Cologne","Jun. 04, 2016"
1_45,Damien Hirst,"17 Sausages, 1993",1993,"Acrylic, silicone, monofilament, sausages and formaldehyde solution",24 x 18 x 2 in.,,"80,000 - 120,000 USD",Withdrawn,20th Century & Contemporary Art Day Sale,Phillips New York,"May. 10, 2016"
1_46,Damien Hirst,"Pharmacy; Home Sweet Home; and Opium, 1992 and 1996",1992 and 1996,"offset lithograph in colors, screenprint in colors, and gloss-finish Lamda print in colors, on 4-ply board with cut-out, porcelain plate, and Fujicolor Professional paper",8 1/2 x 8 1/2 in. (21.6 x 21.6 cm),"Signed, 115/200, 1240/1500 and 10/500","5,000 - 7,000 USD","6,250 USD",Modern & Contemporary Evening & Day Editions,Phillips New York,"Apr. 25, 2016"
1_47,Damien Hirst,"The Acquired Inability to Escape, 1993",1993,"Offset print in colors on cardboard, printed on two separate sheets",10.5 x 21 cm Frame: 43 x 42.5 cm,"Signed, 36/50","1,700 EUR",Not Sold,Collectibles of Post-war & Contemporary Art,"Auctionata, Berlin","Mar. 03, 2016"
1_48,Damien Hirst,"Untitled (Rocks), 1992",1992,Serigraph in colors on wove paper (Somerset Satin),Image/sheet dimensions: 86 x 62.2 cm,"Signed, 62/65","1,800 - 3,600 EUR",Not Sold,British & American Art,"Auctionata, Berlin","Feb. 29, 2016"
1_49,Damien Hirst,"Untitled (Rocks), 1992",1992,Serigraph in colors on wove paper,86 x 62.2 cm,"Signed, from an edition of 65","1,500 - 3,000 EUR",Not Sold,Art of Nature – Prints of Selected Masters,"Auctionata, Berlin","Jan. 26, 2016"
1_50,Damien Hirst,"The Acquired Inability to Escape, 1993",1993,"offset print in colors on cardboard, printed on two separate sheets",each 10.5 x 21 cm,"Signed, 36 from an editon of 50","800 - 1,600 EUR",Not Sold,Postwar Prints,"Auctionata, Berlin","Jan. 11, 2016"
1_51,Damien Hirst,"Pharmacy, 1992",1992,offset lithograph in colors on cardboard with cut out circular hole in the center,21.5 x 21.5 cm,"Signed, 42 from an edition of 200","1,000 - 2,000 EUR","3,250 EUR*",British Modern & Contemporary Art – with Damien Hirst Collection,"Auctionata, Berlin","Dec. 05, 2015"
1_52,Damien Hirst,"The Acquired Inability to Escape, 1993",1993,"offset print in colors on cardboard, printed on two separate sheets",43 x 42.5 cm,"Signed, 36 from an edition of 50","800 - 1,600 EUR",Not Sold,British Modern & Contemporary Art – with Damien Hirst Collection,"Auctionata, Berlin","Dec. 05, 2015"
1_53,Damien Hirst,"Untitled (Rocks), 1992",1992,serigraph in colors on wove paper,86 x 62.2 cm,"Signed, 62 from an edition of 65","1,500 - 3,000 EUR",Not Sold,British Modern & Contemporary Art – with Damien Hirst Collection,"Auctionata, Berlin","Dec. 05, 2015"
1_54,Damien Hirst,"Beautiful, Dangerous, Electrified, Bad Temper Painting, 1995",1995,Household gloss on canvas,Diameter: 82 5/8 in.,,"400,000 - 600,000 USD","485,000 USD",20th Century & Contemporary Art Evening Sale,Phillips New York,"Nov. 08, 2015"
1_55,Damien Hirst,"3 Works: Pharmacy; Home Sweet Home; and Opium, 1992 and 1996",1992 and 1996,"offset lithograph in colors, screenprint in colors, and gloss-finish Lamda print in colors",Largest: S. 19 x 17 in,,"5,000 - 7,000 USD","6,250 USD",Editions: Including a Selection of Works on Paper,Phillips New York,"Oct. 26, 2015"
1_56,Damien Hirst,"WITH DEAD HEAD, 1991",1991,photographic print on aluminium,57 by 76cm.; 22 1/2 by 29 7/8 in,number 5 from an edition of 15,"30,000 - 40,000 GBP","47,500 GBP",Contemporary Art Day Auction,Sotheby's London,"Oct. 16, 2015"
1_57,Damien Hirst,"Beautiful, Exotic, Divinely, Deep, Devil Painting, 1995",1995,household gloss on canvas,diameter: 85 in. (215.9 cm.),,"250,000 - 350,000 USD","509,000 USD",First Open/New York,Christie's New York,"Sep. 30, 2015"
1_58,Damien Hirst,"Spin Painting, 1995",1995,household gloss on paper,3.75 h x 5.75 w inches,Signed,"5,000 - 7,000 USD","4,062 USD",Art + Design,Wright,"Sep. 24, 2015"
1_59,Damien Hirst,"Pharmacy, circa1990",circa1990,offset lithograph printed in colours,216 x 216 mm (8 1/2 x 8 1/2 in),42/200,"1,500 - 2,000 GBP","1,500 GBP",Mixed Media: 20th Century Art,"Dreweatts & Bloomsbury Auctions, Bloomsbury House","Jul. 16, 2015"
1_60,Damien Hirst,"The Acquired Inability to Escape, 1993",1993,offset lithograph printed in colours,108 x 210 mm (4 1/4 x 8 1/4 in),"Signed, 36/50","1,000 - 1,500 GBP","1,000 GBP",Mixed Media: 20th Century Art,"Dreweatts & Bloomsbury Auctions, Bloomsbury House","Jul. 16, 2015"
1_61,Damien Hirst,"Beautiful mis-shapen purity clashing excitedly outwards painting, 1995",1995,household gloss on canvas and electric motor,diameter: 144in. (365.8cm.),Signed,"500,000 - 700,000 GBP","542,500 GBP",Post-War & Contemporary Art Evening Auction,Christie's London,"Jun. 30, 2015"
1_62,Damien Hirst,"MAKING BEAUTIFUL DRAWINGS, 1993",1993,Book with a bound coloured pencil drawing on paper,"21,4 x 14,8 cm (8 ⅜ x 5 ⅞ in.)","Signed, One of 100","3,000 EUR","3,750 EUR","Third Floor. Estimates up to EUR 3,000",Grisebach,"Jun. 06, 2015"
1_63,Damien Hirst,"Pharmacie, 1992",1992,Offset lithograph in colors,21.50 x 21.50 cm.,"Signed, 96/200","1,500 - 2,000 EUR","1,750 EUR",Limited Edition,Artcurial,"May. 19, 2015"
1_64,Damien Hirst,"ALTHIAZIDE, 1992",1992,household gloss on canvas,183 by 203cm.; 72 by 80in,,"500,000 - 700,000 GBP","605,000 GBP",Bear Witness,Sotheby's London,"Mar. 10, 2015"
1_65,Damien Hirst,"UNTITLED (PILL PAINTING), 1990",1990,pills and eggshell paint on canvas,36 by 25.5cm.; 14 1/8 by 10in,Signed,"40,000 - 60,000 GBP","50,000 GBP",Bear Witness,Sotheby's London,"Mar. 10, 2015"
1_66,Damien Hirst,"UNTITLED F (SPOT DRAWING), 1995",1995,colored pencil on paper,59 1/8 by 45 7/8 in. 150.2 by 116.5 cm,,"300,000 - 400,000 USD",USD,Contemporary Curated,Sotheby's New York,"Mar. 05, 2015"
1_67,Damien Hirst,"Spin Painting, 1995",1995,watercolor and acrylic on paper,5.75 h x 3.5 w inches,Signed,"5,000 - 7,000 USD","8,255 USD",Art + Design,Wright,"Feb. 26, 2015"
1_68,Damien Hirst,"BIPHENYL C, 1995",1995,household gloss on canvas,46 x 46 cm,Signed,"1,000,000 - 1,500,000 HKD","1,240,000 HKD",Boundless: Contemporary Art,Sotheby's Hong Kong,"Jan. 20, 2015"
1_69,Damien Hirst,"Spin Painting, 1995",1995,Acrylic on paper,9 x 15 cm - 3 ½ x 6 in,Signed,"3,000 - 5,000 EUR","3,828 EUR",Urban Contemporary Art,Digard,"Dec. 14, 2014"
1_70,Damien Hirst,"Beautiful Exploding Spinning Spiral Painting, 1993",1993,Acrylic,"18 x 12,7 cm (7 x 5 in)",Signed,"6,000 EUR",Not Sold,Post War/Contemporary Art,Ketterer Kunst Munich,"Dec. 06, 2014"
1_71,Damien Hirst,"Untitled, 1994",1994,Crayon and ballpoint pen on paper,21.5 x 14.8 cm,"Signed, 6/100","7,000 - 9,000 EUR",Not Sold,Contemporary Art,"Lempertz, Cologne","Nov. 29, 2014"
1_72,Damien Hirst,"The Physical Impossibility of Death in the Mind of Someone Living, 1991",1991,Litoghaphic poster,60 x 50 cm.,,50 EUR,50 EUR*,33rd Contemporary & International Art Auction 6th Session: Atanasio Soldati - International Graphics,Artesegno Auctions,"Nov. 26, 2014"
1_73,Damien Hirst,"ALBIZZIN, 1992",1992,household gloss on canvas,96.5 by 106.6cm.; 38 by 42in,,"350,000 - 450,000 GBP","386,500 GBP",Contemporary Art Evening Auction,Sotheby's London,"Oct. 17, 2014"
1_74,Damien Hirst,"Aldosterone 18, 21-Diacetate-3-(0-Carboxymethyl) Oxime: BSA, 1992",1992,gloss household paint on canvas,83 7/8 x 92 1/8in. (213 x 233.8cm) (4 inch spot),,"700,000 - 1,000,000 GBP","782,500 GBP",Post-War & Contemporary Art Evening Sale,Christie's London,"Oct. 16, 2014"
1_75,Damien Hirst,"beautiful, hydrochloric, non-functional, expansive, vortex, whorl, wizz painting, 1995",1995,wizz painting,diameter: 48in. (121.9cm.),,"80,000 - 120,000 GBP","170,500 GBP",First Open LDN,Christie's South Kensington,"Sep. 25, 2014"
1_76,Damien Hirst,"Pharmacy, 1992",1992,poster on paper,60x80 cm,,80 EUR,80 EUR*,31th Italian & International Contemporary Art Auction: 4th Session,Artesegno Auctions,"Jul. 10, 2014"
1_77,Damien Hirst,"Untitled, from London, 1992",1992,screenprint in colours,860 x 620 mm (33 7/8 x 24 3/8 in),"Signed, 63/65","1,500 - 2,000 GBP","2,108 GBP",Modern & Contemporary Prints,"Dreweatts & Bloomsbury Auctions, Bloomsbury House","Jul. 03, 2014"
1_78,Damien Hirst,"Calcium Gluconate Injection, 1992",1992,household gloss on canvas,92 x 108in. (233.7 x 274.3cm.) (4 inch spot),,"350,000 - 550,000 GBP","542,500 GBP",Post-War & Contemporary Art Evening Auction,Christie's London,"Jul. 01, 2014"
1_79,Damien Hirst,"UNTITLED AAAAAAA, 1992",1992,"glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",76.2 by 101.6 by 22.9cm.; 30 by 40 by 9in,,"180,000 - 250,000 GBP","290,500 GBP",Contemporary Art Evening Auction,Sotheby's London,"Jun. 30, 2014"
1_80,Damien Hirst,"Untitled from London Group Portfolio, 1992",1992,Screenprint in colours on wove paper,33 3/4 x 24 1/2 in.,"Signed, 25/65","1,500 - 2,000 GBP","1,625 GBP",Prints,Bonhams Knightsbridge,"Jun. 04, 2014"
1_81,Damien Hirst,"Love Will Tear Us Apart, 1995",1995,"Plexiglas, sintra cabinet, surgical syringes, needles",14 x 20 x 8 3/4 in.,"Signed, 25/30","15,000 - 20,000 USD","32,500 USD",Contemporary Art Day,Phillips New York,"May. 16, 2014"
